industry,industry_name,model,split,MSE,RMSE,MAE,MAPE,SMAPE,R2
H,Transportation & Storage,nbeats,train,0.004811300401865484,0.06936353798549699,0.05654427834919521,0.31211255798805404,114.41981536006776,0.9999877505081736
H,Transportation & Storage,nbeats,test,0.0013282279255156931,0.03644486144185066,0.03644486144185066,,200.0,
I,Accommodation & Food,prophet,train,352.16782040608115,18.766134935198593,15.63949523161663,68.07282111022808,113.98274108543178,0.8895871809498108
I,Accommodation & Food,prophet,test,2539.627150965845,50.394713522013845,39.84560077829402,120.56256688536484,74.4317281216921,0.2003692849603762
I,Accommodation & Food,lstm,train,80.10540023935464,8.95016202307839,6.857885565076558,42.5479993224144,138.57085873841754,0.6454232509730462
I,Accommodation & Food,lstm,test,7519.681054810801,86.71609455464885,69.96359372138977,160.8883849867098,141.0621289764679,-1.3676577628497482
I,Accommodation & Food,gru,train,393.03053753321274,19.82499779402794,18.22793068204607,98.87493840522234,151.65053192024075,-0.7397015663168409
I,Accommodation & Food,gru,test,10191.858546943187,100.95473513878974,81.86255049705505,152.90496160695838,198.63139108995347,-2.209023471959442
I,Accommodation & Food,nbeats,train,17.07141506837588,4.1317568985088995,3.4518767595291138,30.559813681943915,132.93537927324633,0.9244354707903868
I,Accommodation & Food,nbeats,test,8335.302229064684,91.29787636667506,73.08133180936177,92.91679055381925,175.1463607047188,-1.624465437362936
J,Information & Communications,prophet,train,241.25765020958295,15.532470834016813,13.001705932144484,243.92807249302075,89.66949676488076,0.9825295883116997
J,Information & Communications,prophet,test,28021.352661841956,167.3957964282316,157.72890409210765,9280.917087728149,198.59366628671484,-20174.373916526212
J,Information & Communications,lstm,train,1684.7330085142687,41.0454992479598,34.873222150573774,265.01283321842374,95.74831653951412,0.6976679500048557
J,Information & Communications,lstm,test,800.231184618082,28.288357757531312,27.192202450086672,850.0723071396351,200.0,-575.1664529250191
J,Information & Communications,gru,train,1430.3739122588267,37.820284402140956,30.38699524184423,223.697499660454,113.19238354119238,0.7433137031403256
J,Information & Communications,gru,test,871.9489230170742,29.528781265353203,27.490989114468295,628.8734217733145,200.0,-626.8032245722935
J,Information & Communications,nbeats,train,0.16459374383857206,0.40570154527506064,0.292082952601569,10.676635242873045,63.9035535840191,0.9999704629969618
J,Information & Communications,nbeats,test,12.970802155034184,3.6014999868157966,3.4918106396993003,187.4816131591797,200.0,-8.338977551624613
K,Financial & Insurance,prophet,train,4192.15799955306,64.74687636908101,50.06031100361949,533.8239803876977,91.82572166616103,0.9084057377605611
K,Financial & Insurance,prophet,test,484558.84517492977,696.1026110961873,598.46346367618,60.74881679351874,86.2234823334329,-3.1775175278521166
K,Financial & Insurance,lstm,train,7866.357736100283,88.69248973898682,70.85700137913227,975.1314361355414,58.61221620362598,0.8450869906468145
K,Financial & Insurance,lstm,test,88589.54941248172,297.6399660873548,247.4661930501461,40.77105508335878,31.778542933370087,0.23624468082599948
K,Financial & Insurance,gru,train,18202.096167936816,134.91514432389278,101.365822996412,1491.9134083322642,62.36245740069995,0.641544207814142
K,Financial & Insurance,gru,test,170564.42928164444,412.9944664055978,380.96687710285187,43.36335339462812,47.41196282159615,-0.4704837194643119
K,Financial & Insurance,nbeats,train,10142.316477921593,100.70906849892711,57.96188408987863,130.10635324326353,55.91841392840276,0.8002662960270936
K,Financial & Insurance,nbeats,test,209525.71562684575,457.73979030323085,399.048583984375,46.76865761314378,50.70293874632904,-0.806379881995378
L,Real Estate,prophet,train,15.835861807302544,3.9794298344489683,3.1272769760954255,42.35191973367497,63.48327874868141,0.9957497409449426
L,Real Estate,prophet,test,597673.7839541761,773.0936450095655,573.8832613387368,21804.830206581453,185.6577167832897,-1187.4807900105138
L,Real Estate,lstm,train,99.36567057138517,9.968233071682523,7.484442768352372,79.5657324122171,92.56071548660901,0.9232884905901502
L,Real Estate,lstm,test,651.5135906016427,25.524764261431343,19.215027555823326,219.0475126867797,160.63374344144347,-0.29554182841687693
L,Real Estate,gru,train,193.765411553988,13.919964495428427,12.753612469349589,151.8611133584067,107.51080501090426,0.8504107393805719
L,Real Estate,gru,test,793.8917852605638,28.176085343080643,20.168397938211758,134.18498020239028,197.23342859423806,-0.5786624099304187
L,Real Estate,nbeats,train,0.11521845032790193,0.3394384337812999,0.2684025764465332,2.3347080812446155,58.78442605770754,0.9999110499512992
L,Real Estate,nbeats,test,598.9594961301351,24.47364901542341,18.062410672505695,163.0764597938174,151.89957082490537,-0.1910374425919612
M,Professional & Scientific,prophet,train,51.65746676722337,7.187312903110826,5.588573376021025,93.82788025925494,91.73846032389261,0.9988448340507649
M,Professional & Scientific,prophet,test,346549.52316088194,588.6845701739446,424.34120921664226,25.702550942539375,27.45586699725845,0.6983950441499769
M,Professional & Scientific,lstm,train,195815.64820012747,442.5106193077489,389.44207743235995,4743.239432832376,174.0735743361827,-2.8295792464448537
M,Professional & Scientific,lstm,test,2565415.4180795667,1601.6914241137606,1387.549199104309,58.19812119750812,84.49201203369766,-1.232702549550631
M,Professional & Scientific,gru,train,181356.4422964263,425.8596509372851,389.2777929816927,2438.2457286752187,137.84835609854667,-2.546799625112983
M,Professional & Scientific,gru,test,3067347.857634116,1751.384554469439,1398.1220352649689,48.39834136892666,75.78963232343834,-1.6695385604351856
M,Professional & Scientific,nbeats,train,229.46723554403434,15.148175980758685,11.926679526056562,107.46656286501765,90.43697694531866,0.9955122944920092
M,Professional & Scientific,nbeats,test,3213779.4452589364,1792.7017167557285,1439.697774251302,50.84661021042033,79.7494058224934,-1.7969791989846429
N,Administrative Services,prophet,train,101.43265405638078,10.071377962145041,7.872158275716103,65.25777069173854,70.1702614825526,0.9890101792008255
N,Administrative Services,prophet,test,597.2141456022969,24.437965250861147,21.54832258071826,,200.0,
